particle,keep,type,note,source,proposed,reason,x_med,y_med,R_px_med,sym_med
453,1,single,,human,reject,not-round;elongated,1519.953125,368.8515625,10.58133646468701,1.0085655
6036,0,reject,,auto,reject,two-cores;not-round;elongated,1060.08544921875,369.5713348388672,27.075265008372284,0.9984662
4144,0,reject,,auto,reject,not-round;defocus,636.9566955566406,16.786272048950195,17.10790950383436,0.99709655
3115,0,reject,,auto,reject,not-round;elongated;defocus,1584.6339111328125,358.5081481933594,12.091846684718096,0.9692526
4817,0,reject,,auto,reject,not-round;elongated,1433.7413940429688,415.85670471191406,15.18484614372336,0.96784282
4049,0,reject,,auto,reject,not-round;elongated,1431.43115234375,420.14111328125,13.39767279400062,0.956917685
5292,0,reject,,auto,reject,two-cores;not-round;elongated,1073.33837890625,382.4497680664063,20.363095199275744,0.9545118
6760,0,reject,,auto,reject,not-round,1576.9805908203125,827.6737670898438,24.95338214250884,0.9264168
3364,0,reject,,auto,reject,not-round;elongated,1409.3502197265625,409.4192504882813,9.51304026170426,0.9249029
5491,0,reject,,auto,reject,short;not-round,674.7348022460938,179.59192657470703,27.25644476198602,0.920883635
2930,0,reject,,auto,reject,short;two-cores;not-round;elongated,1586.2144165039062,841.4659729003906,23.478227829039177,0.9008131
4592,0,reject,,auto,reject,short;not-round,1584.1925659179688,835.8143615722656,23.66718010701732,0.891045425
4916,0,reject,,auto,reject,not-round;elongated;defocus,1440.6515502929688,406.196044921875,9.276469606840536,0.8201563999999999
2931,0,reject,,auto,reject,not-round;elongated,1433.537841796875,412.2999267578125,19.56056114998656,0.81888443
2962,0,reject,,auto,reject,short;not-round;elongated;mislink,1063.2630615234375,375.0689392089844,16.577054033375415,0.8137673249999999
578,0,reject,,auto,reject,short;not-round,1464.184814453125,418.69313049316406,10.9474369156666,0.813394875
48,0,reject,,human,reject,not-round,869.4612121582031,643.1098022460938,27.04919111753523,0.807057535
6672,0,reject,,auto,reject,not-round;elongated,1412.2672119140625,416.8641357421875,15.729691655089256,0.80480486
4424,0,reject,,auto,reject,short;two-cores;not-round;elongated,1588.8693237304688,809.6858520507812,19.72146260958167,0.7967386299999999
3201,0,reject,,auto,reject,two-cores;not-round;elongated;defocus,1427.978271484375,419.4156799316406,13.828631523930538,0.776945875
4811,0,reject,,auto,reject,two-cores;not-round;elongated,1587.1287231445312,810.6326293945312,23.32076009990913,0.768287715
3709,0,reject,,auto,reject,two-cores;not-round;elongated,1577.3775634765625,818.68359375,20.450518222735063,0.7603383
5077,0,reject,,auto,reject,not-round,1015.2604675292968,243.8490982055664,13.876237514426489,0.7437818
6860,0,reject,,auto,reject,two-cores;not-round;elongated,1417.082275390625,410.5596923828125,13.3752125049956,0.73764604
3347,0,reject,,auto,reject,two-cores;not-round;elongated,1434.2578125,424.8258361816406,13.050272866061722,0.7317831
6847,0,reject,,auto,reject,not-round;elongated,1058.169677734375,385.1330261230469,21.73828486757035,0.7307855999999999
1406,0,reject,,auto,reject,short;two-cores;not-round;elongated,1180.9634399414062,741.8671569824219,16.955605522648572,0.7216219
1578,0,reject,,auto,reject,short;not-round;elongated;mislink,1068.2703857421875,370.7810668945313,22.500160096614955,0.7214377
2158,0,reject,,auto,reject,two-cores;not-round;elongated,1441.2632446289062,423.0755004882813,15.14572090232862,0.7181106500000001
4497,0,reject,,auto,reject,not-round;elongated,1601.9189453125,808.8179931640625,20.527015219411687,0.7094237
5347,0,reject,,auto,reject,not-round;elongated,1426.6952514648438,434.5059661865234,16.960384802793186,0.7074090550000001
6807,0,reject,,auto,reject,not-round;elongated,953.9012451171876,57.4133358001709,28.395537311646336,0.70137323
3940,0,reject,,auto,reject,not-round,820.0663146972656,556.3637390136719,26.487015377056803,0.698119025
1802,0,reject,,auto,reject,short;not-round;elongated,1441.2900390625,401.31256103515625,14.463664808279075,0.6723657
3519,0,reject,,auto,reject,two-cores;not-round;elongated;defocus,1080.3748779296875,395.1298522949219,19.144484109229086,0.6676498
1070,0,reject,,auto,reject,rigid-doublet;not-round;elongated;defocus,1142.7799072265625,135.35028076171875,11.894581026318384,0.6454844
6022,0,reject,,auto,reject,not-round;elongated,1179.1297607421875,751.4059448242188,19.752930262614168,0.64389837
449,0,reject,,auto,reject,not-round;elongated;defocus,1449.070068359375,395.7379760742188,17.130875265163468,0.6338804650000001
6664,0,reject,,auto,reject,not-round;elongated,558.238525390625,516.9697265625,17.44704748325286,0.6283714
3793,0,reject,,auto,reject,not-round,1029.451904296875,312.72862243652344,13.88879360986989,0.6172695500000001
